match_id,season,date,home_team,away_team,result,home_odds,tie_odds,away_odds,avg_pts_home,avg_pts_away,avg_wins_home,avg_wins_away,avg_ties_home,avg_ties_away,avg_losses_home,avg_losses_away,avg_goals_for_home,avg_goals_for_away,avg_goals_ag_home,avg_goals_ag_away,avg_pts_home_at_home,avg_pts_away_at_away,avg_wins_home_at_home,avg_wins_away_at_away,avg_ties_home_at_home,avg_ties_away_at_away,avg_losses_home_at_home,avg_losses_away_at_away,avg_goals_for_home_at_home,avg_goals_for_away_at_away,avg_goals_ag_home_at_home,avg_goals_ag_away_at_away,mom_pts_home,mom_pts_away,mom_wins_home,mom_wins_away,mom_ties_home,mom_ties_away,mom_losses_home,mom_losses_away,mom_goals_for_home,mom_goals_for_away,mom_goals_ag_home,mom_goals_ag_away,mom_pts_home_at_home,mom_pts_away_at_away,mom_wins_home_at_home,mom_wins_away_at_away,mom_ties_home_at_home,mom_ties_away_at_away,mom_losses_home_at_home,mom_losses_away_at_away,mom_goals_for_home_at_home,mom_goals_for_away_at_away,mom_goals_ag_home_at_home,mom_goals_ag_away_at_away
2000050,2000/2001,16/09/2000,Arsenal,Coventry,1,1.286,4.286,8.94,1.6,1.4,0.4,0.4,0.4,0.2,0.2,0.4,2,1,1.4,1.4,3,3,1,1,0,0,0,0,3.5,2,1.5,1,8,7,2,2,2,1,1,2,10,5,7,7,6,6,2,2,0,0,0,0,7,4,3,2
2000052,2000/2001,16/09/2000,Charlton,Tottenham,1,2.66,3.17,2.286,1,2,0.2,0.6,0.4,0.2,0.4,0.2,2,1.6,2.2,1.2,2,0.5,0.5,0,0.5,0.5,0,0.5,2.5,0.5,0.5,1.5,5,10,1,3,2,1,2,1,10,8,11,6,4,1,1,0,1,1,0,1,5,1,1,3
2000053,2000/2001,16/09/2000,Everton,Man United,2,4.306,3.28,1.696,1.4,2.2,0.4,0.6,0.2,0.4,0.4,0,1.8,2.8,1.6,0.6,2,1,0.5,0,0.5,1,0,0,2.5,1.5,1,1.5,7,11,2,3,1,2,2,0,9,14,8,3,4,2,1,0,1,2,0,0,5,3,2,3
2000055,2000/2001,16/09/2000,Southampton,Newcastle,1,2.78,3.19,2.2,0.6,2,0,0.6,0.6,0.2,0.4,0.2,1.4,1.4,1.8,0.8,0.5,1.5,0,0.5,0.5,0,0.5,0.5,2,1,2.5,1,3,10,0,3,3,1,2,1,7,7,9,4,1,3,0,1,1,0,1,1,4,2,5,2
2000056,2000/2001,16/09/2000,Sunderland,Derby,1,1.728,3.26,4.02,0.8,0.8,0.2,0,0.2,0.8,0.6,0.2,0.8,2.2,1.8,2.4,2,0.5,0.5,0,0.5,0.5,0,0.5,1,2,0.5,2.5,4,4,1,0,1,4,3,1,4,11,9,12,4,1,1,0,1,1,0,1,2,4,1,5
2000057,2000/2001,17/09/2000,Chelsea,Leicester,2,1.496,3.47,5.68,1.2,2.2,0.2,0.6,0.6,0.4,0.2,0,1.4,0.8,1.4,0.2,2,2,0.5,0.5,0.5,0.5,0,0,3,0.5,2,0,6,11,1,3,3,2,1,0,7,4,7,1,4,4,1,1,1,1,0,0,6,1,4,0
2000058,2000/2001,17/09/2000,Man City,Middlesbrough,X,2.2,3.21,2.734,1.2,1,0.4,0.2,0,0.4,0.6,0.4,1.8,1.8,2.4,1.8,1.5,2,0.5,0.5,0,0.5,0.5,0,2.5,3,2,2,6,5,2,1,0,2,3,2,9,9,12,9,3,4,1,1,0,1,1,0,5,6,4,4
2000059,2000/2001,17/09/2000,West Ham,Liverpool,X,2.764,3.18,2.2,0.4,2,0,0.6,0.4,0.2,0.6,0.2,1,2,1.8,1.6,0.5,0.5,0,0,0.5,0.5,0.5,0.5,1,1.5,1.5,2.5,2,10,0,3,2,1,3,1,5,10,9,8,1,1,0,0,1,1,1,1,2,3,3,5
2000060,2000/2001,23/09/2000,Bradford,Southampton,2,2.15,3.16,2.876,0.833333333,1,0.166666667,0.166666667,0.333333333,0.5,0.5,0.333333333,0.5,1.5,1.666666667,1.5,1.666666667,0.666666667,0.333333333,0,0.666666667,0.666666667,0,0.333333333,1,1,0.333333333,1.333333333,5,5,1,1,2,2,2,2,3,7,9,7,2,1,0,0,2,1,0,1,1,1,1,2
2000061,2000/2001,23/09/2000,Coventry,West Ham,2,2.24,3.15,2.74,1.166666667,0.5,0.333333333,0,0.166666667,0.5,0.5,0.5,1,1,1.5,1.666666667,0.333333333,0.333333333,0,0,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.666666667,2,7,3,2,0,1,3,2,2,5,4,6,6,1,1,0,0,1,1,1,1,0,1,2,2
2000062,2000/2001,23/09/2000,Derby,Leeds,X,2.76,3.15,2.21,0.666666667,1.4,0,0.4,0.666666667,0.2,0.333333333,0.4,2,1.2,2.333333333,1,1,2,0,0.5,1,0.5,0,0,2.333333333,1,2.333333333,0.5,3,7,0,2,3,1,2,2,10,6,12,5,2,4,0,1,2,1,0,0,5,2,5,1
2000063,2000/2001,23/09/2000,Ipswich,Arsenal,X,4.06,3.23,1.742,1.166666667,1.833333333,0.333333333,0.5,0.166666667,0.333333333,0.5,0.166666667,1.166666667,2,1.5,1.333333333,1.333333333,0.666666667,0.333333333,0,0.333333333,0.666666667,0.333333333,0.333333333,1,1,1,1.333333333,7,11,2,3,1,2,2,0,6,12,6,7,3,2,1,0,0,2,1,0,2,3,2,3
2000064,2000/2001,23/09/2000,Liverpool,Sunderland,X,1.376,3.79,7,1.833333333,1.166666667,0.5,0.333333333,0.333333333,0.166666667,0.166666667,0.5,1.833333333,1,1.5,1.666666667,3,0,1,0,0,0,0,1,2.333333333,0.666666667,1,2.666666667,8,4,2,1,2,1,1,3,10,5,9,10,6,0,2,0,0,0,0,2,6,0,3,4
